Name_Hebrew,Name,Wikibase Registry ID,occupation,place of birth,date of birth,sex or gender,Number of movies,Movies list,Year,Movie QID
אבי אוריה,Avi Oriah,Q6628593,actor,,1949-05-01T00:00:00Z,male,11,Buzz Lightyear of Star Command: The Adventure Begins,2000,Q1703163
,,,dub actor,,,,,Batman: Mask of the Phantasm,1994,Q810858
,,,stage actor,,,,,Here Are the Smurfs,1984,Q21006102
,,,,,,,,Cars 2,2011,Q192212
,,,,,,,,Chicken Run,2000,Q156401
,,,,,,,,Spy Kids,2001,Q550581
,,,,,,,,Chicken Little,2005,Q270940
,,,,,,,,Toy Story,1996,Q171048
,,,,,,,,Toy Story 2,2000,Q187266
,,,,,,,,Toy Story 3,2010,Q187278
,,,,,,,,Hawaiian Vacation,2011,Q2457085
אבי חדש,Avi Hadash,Q16128724,actor,,1959-09-01T00:00:00Z,male,24,Igor,2008,Q1766287
,,,dub actor,,,,,Andre,1995,Q501407
,,,stage actor,,,,,Buzz Lightyear of Star Command: The Adventure Begins,2000,Q1703163
,,,,,,,,Bambi II,2006,Q200889
,,,,,,,,The Powerpuff Girls Movie,2002,Q1199301
,,,,,,,,The Rescuers Down Under,1991,Q202371
,,,,,,,,The Little Mermaid: Ariel's Beginning,2008,Q659725
,,,,,,,,Digimon: The Movie,2001,Q2609035
,,,,,,,,Dumbo,1989,Q40895
,,,,,,,,Harry Potter and the Philosopher's Stone,2001,Q102438
,,,,,,,,Harry Potter and the Half-Blood Prince,2009,Q161687
,,,,,,,,Beauty and the Beast: The Enchanted Christmas,1997,Q678334
,,,,,,,,Belle's Magical World,2002,Q595300
,,,,,,,,Hercules,1997,Q271189
,,,,,,,,The Aristocats,1994,Q184701
,,,,,,,,Tom and Jerry: The Movie,1993,Q1090697
,,,,,,,,Treasure Planet,2002,Q392530
,,,,,,,,Recess: School's Out,2001,Q969270
,,,,,,,,Meet the Robinsons,2007,Q221679
,,,,,,,,"Monsters, Inc.",2001,Q187726
,,,,,,,,The Simpsons Movie,2007,Q182254
,,,,,,,,The Chronicles of Narnia: Prince Caspian,2008,Q222023
,,,,,,,,Toy Story 2,2000,Q187266
,,,,,,,,Shrek,2001,Q483815
אבי יפה,אבי יפה,Q18535316,dub actor,Israel,1965-01-01T00:00:00Z,male,2,Miss Spider's Sunny Patch Kids,2005,Q6877431
,,,,,,,,Ali Baba,1997,Q16487939
אבי יקיר,אבי יקיר,Q16128732,dub actor,,1949-01-01T00:00:00Z,male,1,לוחמי הזמן (1994),1994,
אבי כהן,Avi Cohen,Q12403302,film director,,1944-12-15T00:00:00Z,male,3,Barbie and the Magic of Pegasus,2005,Q2545039
,,,,,,,,Barbie: Mermaidia,2006,Q2545667
,,,,,,,,הרמבם (2006),2006,
אבי מאיר וענונו,אבי מאיר וענונו,Q26265457,dub actor,,1964-07-29T00:00:00Z,male,15,Dragon Ball GT: A Hero's Legacy,2006,Q909574
,,,,,,,,Dragon Ball Z: Dead Zone,2005,Q475559
,,,,,,,,Dragon Ball Z: Bardock – The Father of Goku,2006,Q426650
,,,,,,,,Dragon Ball Z: Broly – Second Coming,2005,Q746383
,,,,,,,,Dragon Ball Z: Bio-Broly,2005,Q1254963
,,,,,,,,Dragon Ball Z: Fusion Reborn,2005,Q1254966
,,,,,,,,Dragon Ball Z: Wrath of the Dragon,2005,Q1130576
,,,,,,,,Dragon Ball Z: The World's Strongest,2005,Q984139
,,,,,,,,Dragon Ball Z: The Tree of Might,2005,Q1254986
,,,,,,,,Dragon Ball Z: Lord Slug,2005,Q1815243
,,,,,,,,Dragon Ball Z: Cooler's Revenge,2005,Q1255003
,,,,,,,,Dragon Ball Z: The Return of Cooler,2005,Q1254983
,,,,,,,,Dragon Ball Z: Super Android 13!,2005,Q774058
,,,,,,,,Dragon Ball Z: Broly – The Legendary Super Saiyan,2005,Q543064
,,,,,,,,Dragon Ball Z: Bojack Unbound,2005,Q1255010
אבי מלר,Avi Meller,Q6637487,journalist,Haifa,1953-08-07T00:00:00Z,male,1,Wild Soccer Bunch,2016,Q875694
אבי מצליח,אבי מצליח,Q105811002,dub actor,,,,2,Racing Stripes,2005,Q1165633
,,,,,,,,Nanny McPhee,2005,Q523249
אבי פניני,Avi Pnini,Q12403303,actor,Tel Aviv,1946-10-01T00:00:00Z,male,10,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1996,Q1995292
,,,dub actor,,1946-10-28T00:00:00Z,,,The Bugs Bunny/Road Runner Movie,1991,Q2918397
,,,stage actor,,,,,Daffy Duck's Fantastic Island,1995,Q5208329
,,,,,,,,Daffy Duck's Quackbusters,1991,Q2081050
,,,,,,,,Dumbo,2019,Q24284798
,,,,,,,,The Looney Looney Looney Bugs Bunny Movie,1991,Q3836716
,,,,,,,,The Lion King,1994,Q36479
,,,,,,,,Tiny Toon Adventures: How I Spent My Vacation,1993,Q1315247
,,,,,,,,Alice in Wonderland,1990,Q1442214
,,,,,,,,FernGully: The Last Rainforest,1993,Q240852
אבי קורניק,Avi Kornick,Q8210448,model,Tel Aviv,1983-05-02T00:00:00Z,male,1,The Big Bad Fox and Other Tales...,2018,Q30541707
,,,actor,,,,,,,
,,,presenter,,,,,,,
,,,television presenter,,,,,,,
,,,television actor,,,,,,,
,,,Festigal,,,,,,,
אבי קושניר,Avi Kushnir,Q4026016,comedian,,1960-08-26T00:00:00Z,male,1,Chicken Run,2000,Q156401
,,,actor,,,,,,,
,,,television presenter,,,,,,,
